file_name,label
train_0001.wav,UrbanS
train_0002.wav,UrbanS
train_0003.wav,UrbanS
train_0004.wav,UrbanS
train_0005.wav,NorthernS
train_0006.wav,UrbanS
train_0007.wav,UrbanS
train_0008.wav,EasternS
train_0009.wav,EasternS
train_0010.wav,UrbanS
train_0011.wav,UrbanS
train_0012.wav,UrbanS
train_0013.wav,EasternS
train_0014.wav,UrbanS
train_0015.wav,EasternS
train_0016.wav,EasternS
train_0017.wav,EasternS
train_0018.wav,EasternS
train_0019.wav,UrbanS
train_0020.wav,UrbanS
train_0021.wav,UrbanS
train_0022.wav,UrbanS
train_0023.wav,EasternS
train_0024.wav,UrbanS
train_0025.wav,UrbanS
train_0026.wav,UrbanS
train_0027.wav,UrbanS
train_0028.wav,UrbanS
train_0029.wav,NorthernS
train_0030.wav,UrbanS
train_0031.wav,EasternS
train_0032.wav,UrbanS
train_0033.wav,UrbanS
train_0034.wav,UrbanS
train_0035.wav,EasternS
train_0036.wav,UrbanS
train_0037.wav,EasternS
train_0038.wav,UrbanS
train_0039.wav,UrbanS
train_0040.wav,EasternS
train_0041.wav,EasternS
train_0042.wav,EasternS
train_0043.wav,EasternS
train_0044.wav,NorthernS
train_0045.wav,EasternS
train_0046.wav,NorthernS
train_0047.wav,UrbanS
train_0048.wav,EasternS
train_0049.wav,NorthernS
train_0050.wav,UrbanS
train_0051.wav,UrbanS
train_0052.wav,UrbanS
train_0053.wav,UrbanS
train_0054.wav,NorthernS
train_0055.wav,NorthernS
train_0056.wav,NorthernS
train_0057.wav,EasternS
train_0058.wav,EasternS
train_0059.wav,EasternS
train_0060.wav,UrbanS
train_0061.wav,EasternS
train_0062.wav,EasternS
train_0063.wav,UrbanS
train_0064.wav,NorthernS
train_0065.wav,NorthernS
train_0066.wav,EasternS
train_0067.wav,NorthernS
train_0068.wav,NorthernS
train_0069.wav,NorthernS
train_0070.wav,NorthernS
train_0071.wav,EasternS
train_0072.wav,UrbanS
train_0073.wav,UrbanS
train_0074.wav,UrbanS
train_0075.wav,NorthernS
train_0076.wav,UrbanS
train_0077.wav,NorthernS
train_0078.wav,UrbanS
train_0079.wav,UrbanS
train_0080.wav,UrbanS
train_0081.wav,UrbanS
train_0082.wav,UrbanS
train_0083.wav,UrbanS
train_0084.wav,NorthernS
train_0085.wav,UrbanS
train_0086.wav,EasternS
train_0087.wav,UrbanS
train_0088.wav,UrbanS
train_0089.wav,UrbanS
train_0090.wav,EasternS
train_0091.wav,NorthernS
train_0092.wav,UrbanS
train_0093.wav,NorthernS
train_0094.wav,EasternS
train_0095.wav,EasternS
train_0096.wav,UrbanS
train_0097.wav,UrbanS
train_0098.wav,UrbanS
train_0099.wav,EasternS
train_0100.wav,EasternS
train_0101.wav,UrbanS
train_0102.wav,NorthernS
train_0103.wav,NorthernS
train_0104.wav,UrbanS
train_0105.wav,EasternS
train_0106.wav,UrbanS
train_0107.wav,UrbanS
train_0108.wav,NorthernS
train_0109.wav,NorthernS
train_0110.wav,NorthernS
train_0111.wav,EasternS
train_0112.wav,NorthernS
train_0113.wav,EasternS
